date,base,quote,rate
2025-06-21,AED,AED,1.0
2025-06-21,AED,CHF,0.222752
2025-06-21,AED,CNY,1.95626
2025-06-21,AED,EUR,0.236338
2025-06-21,AED,GBP,0.202468
2025-06-21,AED,HKD,2.13759
2025-06-21,AED,INR,23.5816
2025-06-21,AED,KZT,141.906
2025-06-21,AED,RUB,21.3726
2025-06-21,AED,USD,0.272306
2025-06-21,EUR,AED,4.23123
2025-06-21,EUR,CHF,0.94261
2025-06-21,EUR,CNY,8.27742
2025-06-21,EUR,EUR,1.0
2025-06-21,EUR,GBP,0.856635
2025-06-21,EUR,HKD,9.04598
2025-06-21,EUR,INR,99.7792
2025-06-21,EUR,KZT,600.437
2025-06-21,EUR,RUB,90.4326
2025-06-21,EUR,USD,1.15219
2025-06-21,GBP,AED,4.93906
2025-06-21,GBP,CHF,1.10046
2025-06-21,GBP,CNY,9.66212
2025-06-21,GBP,EUR,1.16736
2025-06-21,GBP,GBP,1.0
2025-06-21,GBP,HKD,10.5576
2025-06-21,GBP,INR,116.47
2025-06-21,GBP,KZT,700.882
2025-06-21,GBP,RUB,105.561
2025-06-21,GBP,USD,1.34494
2025-06-21,HKD,AED,0.467816
2025-06-21,HKD,CHF,0.104207
2025-06-21,HKD,CNY,0.915174
2025-06-21,HKD,EUR,0.110546
2025-06-21,HKD,GBP,0.0947178
2025-06-21,HKD,HKD,1.0
2025-06-21,HKD,INR,11.0318
2025-06-21,HKD,KZT,66.3859
2025-06-21,HKD,RUB,9.99848
2025-06-21,HKD,USD,0.127389
2025-06-21,USD,AED,3.67234
2025-06-21,USD,CHF,0.81802
2025-06-21,USD,CNY,7.18408
2025-06-21,USD,EUR,0.867912
2025-06-21,USD,GBP,0.74353
2025-06-21,USD,HKD,7.84996
2025-06-21,USD,INR,86.5996
2025-06-21,USD,KZT,521.126
2025-06-21,USD,RUB,78.4876
2025-06-21,USD,USD,1.0
2025-06-22,AED,AED,1.0
2025-06-22,AED,CHF,0.222745
2025-06-22,AED,CNY,1.95626
2025-06-22,AED,EUR,0.236427
2025-06-22,AED,GBP,0.202518
2025-06-22,AED,HKD,2.13758
2025-06-22,AED,INR,23.5816
2025-06-22,AED,KZT,141.906
2025-06-22,AED,RUB,21.3774
2025-06-22,AED,USD,0.272306
2025-06-22,EUR,AED,4.22964
2025-06-22,EUR,CHF,0.942204
2025-06-22,EUR,CNY,8.27428
2025-06-22,EUR,EUR,1.0
2025-06-22,EUR,GBP,0.856526
2025-06-22,EUR,HKD,9.04212
2025-06-22,EUR,INR,99.7413
2025-06-22,EUR,KZT,600.21
2025-06-22,EUR,RUB,90.4184
2025-06-22,EUR,USD,1.15176
2025-06-22,GBP,AED,4.93785
2025-06-22,GBP,CHF,1.10012
2025-06-22,GBP,CNY,9.65973
2025-06-22,GBP,EUR,1.16751
2025-06-22,GBP,GBP,1.0
2025-06-22,GBP,HKD,10.555
2025-06-22,GBP,INR,116.442
2025-06-22,GBP,KZT,700.71
2025-06-22,GBP,RUB,105.558
2025-06-22,GBP,USD,1.3446
2025-06-22,HKD,AED,0.46782
2025-06-22,HKD,CHF,0.104204
2025-06-22,HKD,CNY,0.915179
2025-06-22,HKD,EUR,0.110594
2025-06-22,HKD,GBP,0.0947417
2025-06-22,HKD,HKD,1.0
2025-06-22,HKD,INR,11.0319
2025-06-22,HKD,KZT,66.3864
2025-06-22,HKD,RUB,10.0008
2025-06-22,HKD,USD,0.12739
2025-06-22,USD,AED,3.67234
2025-06-22,USD,CHF,0.817994
2025-06-22,USD,CNY,7.18406
2025-06-22,USD,EUR,0.86824
2025-06-22,USD,GBP,0.743712
2025-06-22,USD,HKD,7.8499
2025-06-22,USD,INR,86.5994
2025-06-22,USD,KZT,521.126
2025-06-22,USD,RUB,78.505
2025-06-22,USD,USD,1.0
2025-06-23,AED,AED,1.0
2025-06-23,AED,CHF,0.222144
2025-06-23,AED,CNY,1.95624
2025-06-23,AED,EUR,0.236374
2025-06-23,AED,GBP,0.202373
2025-06-23,AED,HKD,2.13751
2025-06-23,AED,INR,23.5936
2025-06-23,AED,KZT,142.29
2025-06-23,AED,RUB,21.3726
2025-06-23,AED,USD,0.272296
2025-06-23,EUR,AED,4.23058
2025-06-23,EUR,CHF,0.939776
2025-06-23,EUR,CNY,8.27604
2025-06-23,EUR,EUR,1.0
2025-06-23,EUR,GBP,0.856157
2025-06-23,EUR,HKD,9.0429
2025-06-23,EUR,INR,99.8144
2025-06-23,EUR,KZT,601.97
2025-06-23,EUR,RUB,90.4183
2025-06-23,EUR,USD,1.15198
2025-06-23,GBP,AED,4.94138
2025-06-23,GBP,CHF,1.0977
2025-06-23,GBP,CNY,9.66653
2025-06-23,GBP,EUR,1.16801
2025-06-23,GBP,GBP,1.0
2025-06-23,GBP,HKD,10.5622
2025-06-23,GBP,INR,116.584
2025-06-23,GBP,KZT,703.11
2025-06-23,GBP,RUB,105.61
2025-06-23,GBP,USD,1.34552
2025-06-23,HKD,AED,0.467834
2025-06-23,HKD,CHF,0.103927
2025-06-23,HKD,CNY,0.915198
2025-06-23,HKD,EUR,0.110584
2025-06-23,HKD,GBP,0.094677
2025-06-23,HKD,HKD,1.0
2025-06-23,HKD,INR,11.0379
2025-06-23,HKD,KZT,66.5683
2025-06-23,HKD,RUB,9.99882
2025-06-23,HKD,USD,0.12739
2025-06-23,USD,AED,3.67246
2025-06-23,USD,CHF,0.815816
2025-06-23,USD,CNY,7.18422
2025-06-23,USD,EUR,0.868076
2025-06-23,USD,GBP,0.743206
2025-06-23,USD,HKD,7.84992
2025-06-23,USD,INR,86.6464
2025-06-23,USD,KZT,522.556
2025-06-23,USD,RUB,78.49
2025-06-23,USD,USD,1.0
2025-06-24,AED,AED,1.0
2025-06-24,AED,CHF,0.220152
2025-06-24,AED,CNY,1.95388
2025-06-24,AED,EUR,0.234582
2025-06-24,AED,GBP,0.200253
2025-06-24,AED,HKD,2.1375
2025-06-24,AED,INR,23.4322
2025-06-24,AED,KZT,141.078
2025-06-24,AED,RUB,21.3662
2025-06-24,AED,USD,0.272294
2025-06-24,EUR,AED,4.26289
2025-06-24,EUR,CHF,0.93848
2025-06-24,EUR,CNY,8.32918
2025-06-24,EUR,EUR,1.0
2025-06-24,EUR,GBP,0.85367
2025-06-24,EUR,HKD,9.11195
2025-06-24,EUR,INR,99.8888
2025-06-24,EUR,KZT,601.402
2025-06-24,EUR,RUB,91.0816
2025-06-24,EUR,USD,1.16076
2025-06-24,GBP,AED,4.99368
2025-06-24,GBP,CHF,1.09934
2025-06-24,GBP,CNY,9.75706
